text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,,
chihuahua has flu. expect delay in reply.,FALSE,1,NA,3/5/19 16:57,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",telethonband,0,FALSE,FALSE,NA,NA,,,
Stomach flu is no joke ☹️ dyingggg,FALSE,0,NA,3/5/19 16:56,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",emmcud,0,FALSE,FALSE,NA,NA,,,
"Having the flu is the worst, and I don’t wish it upon my worst enemy. No wonder children and old ppl die from it",FALSE,0,NA,3/5/19 16:55,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",hey_its_squid,0,FALSE,FALSE,NA,NA,,,
so i’m basicly baby sitting my cousin who’s sick with the flu and dude if i catch this and end up being sick on my… https://t.co/VUrvgMwQFP,FALSE,0,NA,3/5/19 16:55,TRUE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",KawaiiCakes_,0,FALSE,FALSE,NA,NA,,,
"Attend the #FDA's 2018-2019 #Flu #vaccine selection #WEBEX Wednesday at
https://t.co/Y0IMLMLypl

If you want to und… https://t.co/olU0PtwNYl",FALSE,0,Potrblog,3/5/19 16:55,TRUE,1.10277E+18,1.10298E+18,292493063,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Potrblog,0,FALSE,FALSE,NA,NA,,,
"That's that for @GOPHELP #vaccines hearing for today. 
Most interesting was @BillCassidy's push-back against… https://t.co/35NX3vq10C",FALSE,0,DonnaYoungDC,3/5/19 16:54,TRUE,1.10298E+18,1.10298E+18,593813785,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",DonnaYoungDC,0,FALSE,FALSE,NA,NA,,,
Missed last week in the gym due to flu. Back in and feel like I didn't lose any strength. God is great. Still a lil… https://t.co/KZNwvNqPqa,FALSE,0,NA,3/5/19 16:54,TRUE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",GqNyc1,0,FALSE,FALSE,NA,NA,,,
"@MarkSalter55 @LindseyGrahamSC @realDonaldTrump Now, I can’t say much more that this.  I’m an Officer, don’t lie.… https://t.co/b5uKTTvWxN",FALSE,0,MarkSalter55,3/5/19 16:53,TRUE,1.10291E+18,1.10298E+18,2893418415,"<a href=\http://twitter.com/#!/download/ipad\"" rel=\""nofollow\"">Twitter for iPad</a>""",keithamccluskey,0,FALSE,FALSE,NA,NA,,,
@stef_samm Oh yeah.I have the flu. 🤗,FALSE,0,stef_samm,3/5/19 16:53,FALSE,1.10297E+18,1.10298E+18,2657388618,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",danlyssings,0,FALSE,FALSE,NA,NA,,,
@ShanahanTraci @SenKevinCramer Illegal border crossings are at 25% of what they were 20 years ago. Half of illegals… https://t.co/YNYEiD6tfO,FALSE,0,ShanahanTraci,3/5/19 16:53,TRUE,1.10297E+18,1.10298E+18,9.96206E+17,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",ClarkGab_le,0,FALSE,FALSE,NA,NA,,,
The flu season has hit Winterset.  We are in contact with MadCo Public Health and are below the reportable numbers.… https://t.co/ApLtmjzAKV,FALSE,0,NA,3/5/19 16:53,TRUE,NA,1.10298E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",WintersetSchool,0,FALSE,FALSE,NA,NA,,,
